"";"document";"selection";"politeness";"service";"quality";"fashion"
"144";"groundtruth1834.csv.2441";0;1;0;1;2
"145";"groundtruth1834.csv.2444";0;0;0;0;0
"146";"groundtruth1834.csv.2452";1;1;2;4;1
"147";"groundtruth1834.csv.2455";2;2;0;1;2
"148";"groundtruth1834.csv.2458";1;0;1;4;0
"149";"groundtruth1834.csv.2460";0;0;0;1;0
"150";"groundtruth1834.csv.2467";0;2;0;4;1
"151";"groundtruth1834.csv.2468";0;0;0;2;0
"152";"groundtruth1834.csv.2471";1;1;1;5;0
"153";"groundtruth1834.csv.2475";0;1;2;2;0
"154";"groundtruth1834.csv.2476";1;1;0;2;0
"155";"groundtruth1834.csv.2480";0;0;0;1;0
"156";"groundtruth1834.csv.2489";0;0;3;3;1
"157";"groundtruth1834.csv.2499";0;0;0;1;1
"158";"groundtruth1834.csv.2502";1;0;0;2;0
"159";"groundtruth1834.csv.2571";0;1;2;1;1
"160";"groundtruth1834.csv.2592";0;0;0;0;1
"161";"groundtruth1834.csv.2640";0;0;0;2;2
"162";"groundtruth1834.csv.2657";0;0;0;3;2
"163";"groundtruth1834.csv.2658";1;0;1;2;2
"164";"groundtruth1834.csv.2660";1;1;0;1;1
"165";"groundtruth1834.csv.2662";0;2;0;0;1
"166";"groundtruth1834.csv.2710";0;0;0;2;0
"167";"groundtruth1834.csv.2749";0;0;0;0;0
"168";"groundtruth1834.csv.2751";0;0;0;1;0
"169";"groundtruth1834.csv.2762";0;0;0;2;0
"170";"groundtruth1834.csv.2768";0;0;0;0;0
"171";"groundtruth1834.csv.2816";0;0;0;0;1
"172";"groundtruth1834.csv.2818";1;1;0;2;0
"173";"groundtruth1834.csv.2825";0;0;0;1;0
"174";"groundtruth1834.csv.2831";4;3;0;6;4
"175";"groundtruth1834.csv.2832";2;3;0;4;0
"176";"groundtruth1834.csv.2834";1;0;0;2;0
"177";"groundtruth1834.csv.2838";0;0;0;2;0
"178";"groundtruth1834.csv.2839";0;3;0;2;0
"179";"groundtruth1834.csv.2844";0;0;0;1;0
"180";"groundtruth1834.csv.2846";0;0;0;0;0
"181";"groundtruth1834.csv.2850";0;0;0;0;1
"182";"groundtruth1834.csv.2854";0;0;0;1;0
"183";"groundtruth1834.csv.2977";1;2;0;2;0
"184";"groundtruth1834.csv.2985";0;0;0;2;0
"185";"groundtruth1834.csv.2992";0;0;0;1;0
"186";"groundtruth1834.csv.3027";0;3;1;0;1
"187";"groundtruth1834.csv.3061";0;0;0;1;0
"188";"groundtruth1834.csv.3062";0;0;0;0;1
"189";"groundtruth1834.csv.3064";0;0;0;1;0
"190";"groundtruth1834.csv.3066";0;0;0;1;1
"191";"groundtruth1834.csv.3164";0;0;0;1;0
"192";"groundtruth1834.csv.3165";0;1;0;1;3
"193";"groundtruth1834.csv.3167";0;0;0;1;0
"194";"groundtruth1834.csv.3174";0;0;0;2;0
"195";"groundtruth1834.csv.3189";0;0;0;1;0
"196";"groundtruth1834.csv.3226";0;0;0;0;0
"197";"groundtruth1834.csv.3257";0;0;0;0;0
"198";"groundtruth1834.csv.3259";0;0;0;0;0
"199";"groundtruth1834.csv.3263";1;0;1;2;0
"200";"groundtruth1834.csv.3264";3;0;0;1;1
"201";"groundtruth1834.csv.3271";0;0;0;1;0
"202";"groundtruth1834.csv.3279";0;1;0;1;0
"203";"groundtruth1834.csv.3284";1;2;0;2;0
"204";"groundtruth1834.csv.3285";0;3;1;0;1
"205";"groundtruth1834.csv.3413";2;0;3;4;3
"206";"groundtruth1834.csv.3446";0;0;0;1;0
"207";"groundtruth1834.csv.3449";0;0;0;1;0
"208";"groundtruth1834.csv.3451";0;0;0;1;0
"209";"groundtruth1834.csv.3527";0;2;1;1;0
"210";"groundtruth1834.csv.3532";1;0;1;2;0
"211";"groundtruth1834.csv.3539";3;0;0;1;1
"212";"groundtruth1834.csv.3545";0;0;0;1;1
"213";"groundtruth1834.csv.3551";2;3;1;2;2
"214";"groundtruth1834.csv.3554";0;0;0;1;0
"215";"groundtruth1834.csv.3558";4;2;0;6;2
"216";"groundtruth1834.csv.3559";2;2;1;1;3
"217";"groundtruth1834.csv.3561";0;0;0;0;1
"218";"groundtruth1834.csv.3568";0;0;0;3;1
"219";"groundtruth1834.csv.3570";0;1;0;1;3
"220";"groundtruth1834.csv.3573";0;0;0;0;1
"221";"groundtruth1834.csv.3580";0;1;0;2;0
"222";"groundtruth1834.csv.3589";0;0;0;0;0
"223";"groundtruth1834.csv.3642";0;0;0;0;0
"224";"groundtruth1834.csv.3691";1;2;0;2;2
"225";"groundtruth1834.csv.3693";0;0;0;2;0
"226";"groundtruth1834.csv.3698";2;0;3;3;3
"227";"groundtruth1834.csv.3727";0;0;0;0;1
"228";"groundtruth1834.csv.3733";2;2;1;1;3
"229";"groundtruth1834.csv.3779";2;3;1;3;2
"230";"groundtruth1834.csv.3785";0;3;0;1;1
"231";"groundtruth1834.csv.3788";2;2;0;2;1
"232";"groundtruth1834.csv.3789";0;0;0;1;1
"233";"groundtruth1834.csv.3790";0;0;1;3;0
"234";"groundtruth1834.csv.3791";4;0;3;5;3
"235";"groundtruth1834.csv.3795";0;2;0;2;2
"236";"groundtruth1834.csv.3798";1;0;0;0;3
"237";"groundtruth1834.csv.3799";1;0;0;1;0
"238";"groundtruth1834.csv.3800";0;0;0;1;1
"239";"groundtruth1834.csv.3803";3;0;0;1;1
"240";"groundtruth1834.csv.3807";0;0;0;1;1
"241";"groundtruth1834.csv.3814";0;0;0;1;0
"242";"groundtruth1834.csv.3816";2;3;1;2;2
"243";"groundtruth1834.csv.3824";0;0;0;0;1
"244";"groundtruth1834.csv.3832";0;0;0;0;1
"245";"groundtruth1834.csv.3834";0;2;1;1;0
"246";"groundtruth1834.csv.3972";0;2;0;2;2
"247";"groundtruth1834.csv.3974";0;0;0;0;0
"248";"groundtruth1834.csv.3975";0;0;0;2;1
"249";"groundtruth1834.csv.4008";0;0;0;3;0
"250";"groundtruth1834.csv.4011";4;0;3;5;3
"251";"groundtruth1834.csv.4012";2;3;1;3;2
"252";"groundtruth1834.csv.4014";0;0;0;2;1
"253";"groundtruth1834.csv.4015";0;2;0;1;1
"254";"groundtruth1834.csv.4022";0;3;0;1;1
"255";"groundtruth1834.csv.4029";0;0;0;4;0
"256";"groundtruth1834.csv.4034";0;0;0;3;1
"257";"groundtruth1834.csv.4050";0;0;0;1;1
"258";"groundtruth1834.csv.4052";0;0;1;3;0
"259";"groundtruth1834.csv.4062";0;0;0;0;1
"260";"groundtruth1834.csv.4064";1;0;0;0;3
"261";"groundtruth1834.csv.4065";1;0;0;1;0
"262";"groundtruth1834.csv.4189";2;3;1;3;2
"263";"groundtruth1834.csv.4252";2;2;1;3;2
"264";"groundtruth1834.csv.4255";4;0;3;5;3
"265";"groundtruth1834.csv.4261";2;0;0;4;5
"266";"groundtruth1834.csv.4262";0;0;0;2;0
"267";"groundtruth1834.csv.4270";0;0;0;0;0
"268";"groundtruth1834.csv.4273";0;0;0;3;0
"269";"groundtruth1834.csv.4274";0;0;0;3;1
"270";"groundtruth1834.csv.4282";0;0;0;4;0
"271";"groundtruth1834.csv.4284";1;0;1;1;0
"272";"groundtruth1834.csv.4286";0;0;0;3;1
"273";"groundtruth1834.csv.4388";0;0;0;0;0
"274";"groundtruth1834.csv.4391";0;0;0;0;0
"275";"groundtruth1834.csv.4396";2;0;0;4;5
"276";"groundtruth1834.csv.4402";0;0;1;3;4
"277";"groundtruth1834.csv.4449";0;0;0;0;1
"278";"groundtruth1834.csv.4451";0;0;0;0;1
"279";"groundtruth1834.csv.4458";0;0;0;1;1
"280";"groundtruth1834.csv.4474";0;0;0;2;0
"281";"groundtruth1834.csv.4482";0;0;0;0;0
"282";"groundtruth1834.csv.4483";2;2;1;3;2
"283";"groundtruth1834.csv.4494";0;0;0;0;1
"284";"groundtruth1834.csv.4587";0;1;0;1;0
"285";"groundtruth1834.csv.4620";0;0;1;3;4
"286";"groundtruth1834.csv.4675";1;1;0;2;4
"287";"groundtruth1834.csv.4679";0;2;1;2;0
"288";"groundtruth1834.csv.4682";0;0;0;0;1
"289";"groundtruth1834.csv.4685";4;2;0;3;0
"290";"groundtruth1834.csv.4688";0;0;0;0;0
"291";"groundtruth1834.csv.4690";2;0;1;4;0
"292";"groundtruth1834.csv.4691";1;2;0;1;1
"293";"groundtruth1834.csv.4693";1;2;0;3;0
"294";"groundtruth1834.csv.4694";1;1;0;3;0
"295";"groundtruth1834.csv.4696";0;0;0;0;1
"296";"groundtruth1834.csv.4697";1;3;0;1;2
"297";"groundtruth1834.csv.4698";0;0;0;0;1
"298";"groundtruth1834.csv.4705";0;0;0;1;1
"299";"groundtruth1834.csv.4708";0;0;0;0;0
"300";"groundtruth1834.csv.4721";0;1;0;1;0
"301";"groundtruth1834.csv.4768";0;0;0;0;1
"302";"groundtruth1834.csv.4855";0;2;1;2;0
"303";"groundtruth1834.csv.4862";2;0;1;4;0
"304";"groundtruth1834.csv.4868";0;0;0;0;0
"305";"groundtruth1834.csv.4946";1;0;0;3;1
"306";"groundtruth1834.csv.4949";1;2;0;2;0
"307";"groundtruth1834.csv.4950";2;0;0;5;0
"308";"groundtruth1834.csv.4951";2;1;0;5;2
"309";"groundtruth1834.csv.4953";2;2;0;1;0
"310";"groundtruth1834.csv.4960";0;0;0;1;0
"311";"groundtruth1834.csv.4965";1;1;0;2;4
"312";"groundtruth1834.csv.4970";0;0;0;0;1
"313";"groundtruth1834.csv.4975";0;0;0;0;0
"314";"groundtruth1834.csv.4977";1;2;0;1;1
"315";"groundtruth1834.csv.4979";1;2;0;3;0
"316";"groundtruth1834.csv.4980";1;3;0;1;2
"317";"groundtruth1834.csv.4981";1;1;0;3;0
"318";"groundtruth1834.csv.5108";0;0;0;0;0
"319";"groundtruth1834.csv.5109";1;0;0;1;1
"320";"groundtruth1834.csv.5192";1;0;0;1;0
"321";"groundtruth1834.csv.5202";0;1;0;1;1
"322";"groundtruth1834.csv.5204";0;0;0;2;0
"323";"groundtruth1834.csv.5206";0;0;0;0;2
"324";"groundtruth1834.csv.5208";1;0;0;1;0
"325";"groundtruth1834.csv.5211";7;2;1;5;3
"326";"groundtruth1834.csv.5212";1;1;0;1;0
"327";"groundtruth1834.csv.5213";0;0;0;1;0
"328";"groundtruth1834.csv.5214";1;0;0;0;1
"329";"groundtruth1834.csv.5220";1;0;0;3;1
"330";"groundtruth1834.csv.5222";1;1;0;2;0
"331";"groundtruth1834.csv.5223";2;0;0;5;0
"332";"groundtruth1834.csv.5224";2;1;0;5;2
"333";"groundtruth1834.csv.5230";2;0;0;4;1
"334";"groundtruth1834.csv.5394";0;0;0;1;0
"335";"groundtruth1834.csv.5414";1;0;0;2;0
"336";"groundtruth1834.csv.5417";2;0;0;1;1
"337";"groundtruth1834.csv.5419";2;2;0;1;1
"338";"groundtruth1834.csv.5421";1;0;0;2;0
"339";"groundtruth1834.csv.5423";0;0;0;1;0
"340";"groundtruth1834.csv.5426";1;1;0;1;1
"341";"groundtruth1834.csv.5433";0;1;0;1;1
"342";"groundtruth1834.csv.5436";0;0;0;0;2
"343";"groundtruth1834.csv.5440";1;1;0;1;0
"344";"groundtruth1834.csv.5441";1;0;0;1;0
"345";"groundtruth1834.csv.5531";0;2;1;2;0
"346";"groundtruth1834.csv.5532";0;1;0;0;0
"347";"groundtruth1834.csv.5552";1;0;0;2;0
"348";"groundtruth1834.csv.5598";1;1;0;2;0
"349";"groundtruth1834.csv.5607";0;0;0;1;0
"350";"groundtruth1834.csv.5614";0;0;0;1;0
"351";"groundtruth1834.csv.5615";0;0;0;2;0
"352";"groundtruth1834.csv.5624";0;1;0;1;0
"353";"groundtruth1834.csv.5626";0;0;0;0;1
"354";"groundtruth1834.csv.5628";2;2;1;5;1
"355";"groundtruth1834.csv.5633";1;0;0;2;0
"356";"groundtruth1834.csv.5636";2;0;0;1;1
"357";"groundtruth1834.csv.5641";0;0;0;1;0
"358";"groundtruth1834.csv.5644";1;1;0;1;1
"359";"groundtruth1834.csv.5651";0;2;1;2;0
"360";"groundtruth1834.csv.5652";0;1;0;0;0
"361";"groundtruth1834.csv.5739";0;0;0;3;1
"362";"groundtruth1834.csv.5770";1;0;1;2;0
"363";"groundtruth1834.csv.5772";0;0;0;0;0
"364";"groundtruth1834.csv.5775";0;0;0;0;2
"365";"groundtruth1834.csv.5778";1;3;1;1;0
"366";"groundtruth1834.csv.5815";0;2;1;4;1
"367";"groundtruth1834.csv.5816";0;0;0;1;0
"368";"groundtruth1834.csv.5819";1;1;0;2;0
"369";"groundtruth1834.csv.5820";0;0;0;0;0
"370";"groundtruth1834.csv.5821";0;0;0;1;1
"371";"groundtruth1834.csv.5823";2;4;1;6;1
"372";"groundtruth1834.csv.5829";1;2;0;1;0
"373";"groundtruth1834.csv.5830";1;3;0;1;0
"374";"groundtruth1834.csv.5831";1;0;0;3;0
"375";"groundtruth1834.csv.5836";0;0;0;0;2
"376";"groundtruth1834.csv.5840";0;1;0;1;0
"377";"groundtruth1834.csv.5841";1;1;1;1;1
"378";"groundtruth1834.csv.5848";0;0;0;1;0
"379";"groundtruth1834.csv.5851";0;0;0;1;1
"380";"groundtruth1834.csv.5855";0;0;0;1;0
"381";"groundtruth1834.csv.5860";0;0;0;1;0
"382";"groundtruth1834.csv.5863";0;0;0;2;0
"383";"groundtruth1834.csv.5869";0;2;0;1;0
"384";"groundtruth1834.csv.5871";0;0;0;0;1
"385";"groundtruth1834.csv.5873";2;2;1;5;1
"386";"groundtruth1834.csv.5875";1;0;1;2;0
"387";"groundtruth1834.csv.5977";0;0;0;2;1
"388";"groundtruth1834.csv.6005";0;0;0;0;0
"389";"groundtruth1834.csv.6020";0;0;0;0;2
"390";"groundtruth1834.csv.6042";0;0;0;1;1
"391";"groundtruth1834.csv.6044";0;3;0;1;0
"392";"groundtruth1834.csv.6050";0;0;0;1;1
"393";"groundtruth1834.csv.6052";1;0;0;0;1
"394";"groundtruth1834.csv.6054";0;0;0;2;1
"395";"groundtruth1834.csv.6057";0;0;0;0;0
"396";"groundtruth1834.csv.6060";1;1;0;2;1
"397";"groundtruth1834.csv.6062";1;0;0;1;1
"398";"groundtruth1834.csv.6068";1;3;0;1;0
"399";"groundtruth1834.csv.6071";2;4;1;6;1
"400";"groundtruth1834.csv.6072";0;0;0;0;0
"401";"groundtruth1834.csv.6075";1;3;1;1;0
"402";"groundtruth1834.csv.6078";1;0;0;3;0
"403";"groundtruth1834.csv.6081";0;0;0;0;2
"404";"groundtruth1834.csv.6084";0;1;0;1;0
"405";"groundtruth1834.csv.6087";0;0;0;1;0
"406";"groundtruth1834.csv.6090";0;0;0;1;1
"407";"groundtruth1834.csv.6223";0;2;1;4;1
"408";"groundtruth1834.csv.6233";0;0;0;1;0
"409";"groundtruth1834.csv.6260";0;0;0;0;0
"410";"groundtruth1834.csv.6307";0;0;0;0;0
"411";"groundtruth1834.csv.6309";0;3;0;1;0
"412";"groundtruth1834.csv.6310";1;0;0;0;1
"413";"groundtruth1834.csv.6311";0;0;0;2;0
"414";"groundtruth1834.csv.6312";1;3;0;2;0
"415";"groundtruth1834.csv.6313";0;0;0;2;0
"416";"groundtruth1834.csv.6316";4;2;0;3;1
"417";"groundtruth1834.csv.6317";0;3;0;0;0
"418";"groundtruth1834.csv.6326";0;0;0;1;0
"419";"groundtruth1834.csv.6331";0;0;0;0;0
"420";"groundtruth1834.csv.6334";0;0;0;1;1
"421";"groundtruth1834.csv.6345";0;0;0;0;0
"422";"groundtruth1834.csv.6347";1;1;0;2;1
"423";"groundtruth1834.csv.6349";1;0;0;1;1
"424";"groundtruth1834.csv.6353";0;0;0;1;0
"425";"groundtruth1834.csv.6484";0;0;0;2;0
"426";"groundtruth1834.csv.6500";0;0;0;1;1
"427";"groundtruth1834.csv.6524";0;0;0;0;0
"428";"groundtruth1834.csv.6551";0;0;0;0;0
"429";"groundtruth1834.csv.6554";3;2;0;3;0
"430";"groundtruth1834.csv.6562";2;0;0;2;1
"431";"groundtruth1834.csv.6567";0;0;0;0;1
"432";"groundtruth1834.csv.6568";1;0;0;1;0
"433";"groundtruth1834.csv.6570";0;3;0;1;0
"434";"groundtruth1834.csv.6571";0;0;0;2;0
"435";"groundtruth1834.csv.6572";1;0;0;0;1
"436";"groundtruth1834.csv.6573";1;3;0;2;0
"437";"groundtruth1834.csv.6574";0;0;0;1;0
"438";"groundtruth1834.csv.6577";0;0;0;0;0
"439";"groundtruth1834.csv.6584";0;0;0;1;0
"440";"groundtruth1834.csv.6592";0;0;0;0;0
"441";"groundtruth1834.csv.6606";0;0;0;1;1
"442";"groundtruth1834.csv.6721";0;0;1;2;0
"443";"groundtruth1834.csv.6744";1;2;0;2;2
"444";"groundtruth1834.csv.6746";0;0;0;1;0
"445";"groundtruth1834.csv.6754";2;0;1;3;0
"446";"groundtruth1834.csv.6786";3;2;0;4;2
"447";"groundtruth1834.csv.6797";0;1;1;0;0
"448";"groundtruth1834.csv.6799";0;1;1;1;3
"449";"groundtruth1834.csv.6813";3;2;0;3;0
"450";"groundtruth1834.csv.6816";0;0;0;0;0
"451";"groundtruth1834.csv.6822";2;0;0;2;1
"452";"groundtruth1834.csv.6827";0;0;0;0;1
"453";"groundtruth1834.csv.6828";1;0;0;1;0
"454";"groundtruth1834.csv.6831";1;2;0;2;2
"455";"groundtruth1834.csv.6832";0;0;0;1;0
"456";"groundtruth1834.csv.6836";0;0;0;1;0
"457";"groundtruth1834.csv.6982";0;0;0;0;0
"458";"groundtruth1834.csv.7001";2;3;0;2;0
"459";"groundtruth1834.csv.7005";0;0;0;0;0
"460";"groundtruth1834.csv.7007";1;0;0;2;0
"461";"groundtruth1834.csv.7009";0;0;0;4;0
"462";"groundtruth1834.csv.7016";0;1;0;2;0
"463";"groundtruth1834.csv.7017";0;3;0;1;0
"464";"groundtruth1834.csv.7024";0;0;0;0;0
"465";"groundtruth1834.csv.7031";0;0;1;3;1
"466";"groundtruth1834.csv.7032";1;2;0;3;1
"467";"groundtruth1834.csv.7033";1;2;0;2;0
"468";"groundtruth1834.csv.7046";0;1;0;0;1
"469";"groundtruth1834.csv.7047";2;1;0;3;0
"470";"groundtruth1834.csv.7236";0;0;0;4;0
"471";"groundtruth1834.csv.7237";0;1;0;2;0
"472";"groundtruth1834.csv.7243";0;2;1;3;0
"473";"groundtruth1834.csv.7245";0;0;0;1;0
"474";"groundtruth1834.csv.7246";1;0;1;1;1
"475";"groundtruth1834.csv.7249";0;2;1;3;2
"476";"groundtruth1834.csv.7256";0;0;0;1;2
"477";"groundtruth1834.csv.7262";1;1;0;2;0
"478";"groundtruth1834.csv.7265";2;3;0;2;0
"479";"groundtruth1834.csv.7272";1;0;0;2;0
"480";"groundtruth1834.csv.7277";0;3;0;1;0
"481";"groundtruth1834.csv.7288";0;1;0;0;0
"482";"groundtruth1834.csv.7289";0;0;0;1;0
"483";"groundtruth1834.csv.7291";0;0;0;0;0
"484";"groundtruth1834.csv.7436";0;0;0;0;1
"485";"groundtruth1834.csv.7440";0;0;0;1;0
"486";"groundtruth1834.csv.7443";0;0;0;1;0
"487";"groundtruth1834.csv.7466";0;0;0;1;0
"488";"groundtruth1834.csv.7474";0;1;0;0;0
"489";"groundtruth1834.csv.7475";0;0;0;0;2
"490";"groundtruth1834.csv.7481";3;2;0;3;0
"491";"groundtruth1834.csv.7482";0;0;0;0;0
"492";"groundtruth1834.csv.7487";0;0;0;0;0
"493";"groundtruth1834.csv.7493";0;2;1;3;0
"494";"groundtruth1834.csv.7494";0;0;0;4;0
"495";"groundtruth1834.csv.7495";0;1;0;2;0
"496";"groundtruth1834.csv.7501";1;0;1;1;1
"497";"groundtruth1834.csv.7502";0;0;0;1;0
"498";"groundtruth1834.csv.7504";0;2;1;3;2
"499";"groundtruth1834.csv.7505";0;0;0;1;2
"500";"groundtruth1834.csv.7511";1;1;0;2;0
