id,ad_content
0c86562e-3f0b-54f5-97a5-4187d147925d/a37,"15. Zwey Losamenter von 5 schönen hellen und geräumigen Zimmern nebst einer Kammer und Küchen ꝛc., alles auf einem Boden; auch einem sehr schönen Bauchhaus, nebst einem sehr großen geräumigen Keller, zusammen oder zertheilt, auf Fastnachtfronfasten."
0c86562e-3f0b-54f5-97a5-4187d147925d/a4,"23. Fr. 124000 auf hiesige erste Hypothek, 3 1"
0c86562e-3f0b-54f5-97a5-4187d147925d/a5,14. Zwey heizbare Stuben mit Alekoven u. Kabinet; in No. 1008 in der AeschenVorstadt.
0c86562e-3f0b-54f5-97a5-4187d147925d/a6,"13. Ein Losament von Stube, Kammer, Küche und was der Augenschein noch ferner zeigen wird; in No. 9 kl. Basel zu erfragen."
0c86562e-3f0b-54f5-97a5-4187d147925d/a7,12. Ein gutes Forte-piano um biligen Zins; in No. 127.
0c86562e-3f0b-54f5-97a5-4187d147925d/a8,11. Ein Kirchensitz im kleinen mittlern Röstlein bey St. Peter.
0c86562e-3f0b-54f5-97a5-4187d147925d/a9,"10. In No. 123 am Blumenrain: Ein Losament von Stube mit Alekoven, schöner Küche und Platz auf dem Estrich, nebst dem Keller, auf Fastnachtfronfasten."
2d109c30-095c-517f-b324-5b03f7636340/a0,"35. Bey Frau Riggenbach an der untern Freyenstraße sind von den begehrten Caffétières à la mmute in gelbem Steingut angelangt, auch frische Pommeranzen."
2d109c30-095c-517f-b324-5b03f7636340/a1,"34. So eben erhalte eine artige Auswahl von Geldund Tabakbeuteln mit u. ohne Schlößchen, gefärbten u. schwarzen seidenen Halstüchern, von allen Größen u. Farben Mitainechen oder Amadischen, u. zu jeder Größe von den beliebten WollenSchuhen u. Stiefelein; auch Uhrenu. Pfeifen-Schnüre. Diese Gegenstände eignen sich besonders gut zu Neujahrsgeschenken und sind zu den billigsten Preisen, so wie noch viele andere Artikel zu haben, womit ich mich E. E. Publikum ergebenst empfehle. Friedrich Maring, No. 380 ücke"
2d109c30-095c-517f-b324-5b03f7636340/a10,"29. Wittwe Jaillet, in No. 504 auf dem Adelberg, hat durch neue Zusendung in Bijouterie-Waaren einem geehrten Publikum mehreres Geschmackvolle in Ceinture-Schnallen, Ohrenbehängen, LockenKämmchen ꝛc., so wie in den bekannten Mode-Artikeln anzubieten, und bittet"
2d109c30-095c-517f-b324-5b03f7636340/a11,"23. Eine Kirchen. und Pastoral-Bibel, Prachtausgabe mit 50 Kupfern und K., ganz Franzband gebunden: bey Häfler, Buchbinder, No. 627 im Gerbergäßchen."
2d109c30-095c-517f-b324-5b03f7636340/a12,"22. Eine schöne Felsenburg, sehr niedlich auf Tufftstein gebaut, sehr artig für Knaben gls Neujahrsgeschenk, à 60 Btz., so wie schöne kolorirte auf Karton gezogene Soldaten zum Aufstellen: Infanterie à 2 1/2 Btz., Cavallerie à 3 Btz. d. Dutzend, so wie auch vollständige Musik u. Artillerie; in No. 285. Webergasse."
2d109c30-095c-517f-b324-5b03f7636340/a13,"Neueste Schriften. 21 Das Welttheater, oder die allgem. Weltgeschichte, von der Schöpfung bis zum; 1840. Von C. Strahlheim. Mit 240 hist. Stahlstichen u. 300 Bildnissen d. berühmtesten Menschen aller Zeiten. Erste Lief. brosch. 54 kr. oder Vorausbezahlung für 12 Lief. 9 fl. Die Wundermappe, oder sämtl. Kunst. u. Natur-Wunder ganzen Erdballs. Von C. Strahlheim. Erster Jahrg. 1833, in 24 Heften u. 14 Stahlstichen in gr. Med Oct. bestehend, br. 14fl. 24 kr Allgemeine Weltchronit unserer Zeit Fahrg 1833, 12 Hefte, mit Kupf. 9 fl. Der Scharfrichter von Bern, oder das Winzerfest. V. F. Cooper. àTh. 1fl. 20kr. Ovid's Werke. 5 Thle. br. 2 fl. Oberrhein. Rochbuch f. junge Hausmütter u. Töchter, Ste verb. Ausg. eleg. geb. 2 fl. Schweizer-Liederbuch. Eine Samml. 532 der beliebtesten Lieder, Kühreihen u. Volkslieder, 3e vermAufl. eleg. geb. 56kr. Vaterländische Lieder für freysinnige Deutsche, 2te Aufl. brosch. 36 kr. Französisch-deutsches und deutsch-französisches Wörterbuch, 2 Thle br. 1fl 52 kr Bibliothek deutscher Klassiker. 18 Thle jeder mit dem Port. d. Verf. eleg geb 6fl Auswahl kleiner Schau. u. Lustspiele für d. Jugend, 6 Bdchen brosch. 36kr Dr. Chelius Handbuch der Chirurgie, 2 Bd 3te verm. u. verb. Aufl. br. 4 fl. 40 kr. Wintergarten. Ein Taschenbuch. Enthält: 1) Vom versunkenen Bergwerk, von Kind. 2) Das Zauberschloß. v. L. Tieck. 3) Treue gewinnt, von W. Blumenhagen. 4) Die gute alte Zeit, v. H. Clauren. 5) Die schöne Unglückliche, v. G. Döring. Eleg. geb. 1fl. 12 kr. Große histor. Kalender f. 1834. Der Deutsche-Bundes-Kalender. Von Dr. Kühlenthal, 13 Bogen stark, mit Abbildungen. 28 kr. Der Bote vom Hardtgebirge. Mit Kupf. u. einer Karte v. Rhein-Bayern. 20 kr. Der vaterländische Pilger in der Schweiz. Mit 10 Zeichnungen. 12 kr. Der Republikaner-Kalender, mit 3 großen Kupf. u. 12 Vign. 4te wohlf. Aufl. 12 kr. Holdenecker'schen Leihbibliothek"
2d109c30-095c-517f-b324-5b03f7636340/a14,"20. In No. 518 auf dem Adelberg ist eine große so viel als neue Schaubdecke, und aben."
2d109c30-095c-517f-b324-5b03f7636340/a15,19. Ein sich noch in gutem Zustande beindliches Hausörgelchen.
2d109c30-095c-517f-b324-5b03f7636340/a16,"18. Eine Grube voll Pferdbau, in No. 313 in der Spahlen-Vorstadt."
2d109c30-095c-517f-b324-5b03f7636340/a17,"17. Folgende Bücher, so gut wieneu, sind im Berichthaus in Commission zu haben: Grammaire & Exercices franc. par 10. Noel & Chapsal. Paris. 1825. 8. Franz. Grammatit von Hirzel. 8. Eulers Wechsel.-Encyclopadie. Fablessynchronistiques de l'histoire 15. ancienne & mod. p. Lamp."
2d109c30-095c-517f-b324-5b03f7636340/a18,"28. Auf E. E. Zunft zum Bären kann man frisches Rehfleisch, Kapgunen, Poulardes, Welsche-Hahnen u. Hühner, Rebhühner, Trüfflen-Würste, Schnecken, Hechte, Forellen und Krebse sowohl roh als appretirt"
2d109c30-095c-517f-b324-5b03f7636340/a2,27. In No. 166 der Post gegenüber ist eine ganz neue Guitarre um sehr billigen Preis zu haben.
2d109c30-095c-517f-b324-5b03f7636340/a3,"26. Bey H. Iselin-Reichenstein in KleinBasel, sind noch große dürre Wellen, das Hundert zu 70 Btz., vor das Haus geliefert; ferner ein großer runder steinerner Brunntrog, auch dienlich für einen Sprinabrunnen; wie auch mehrere große Quadersteine; auch ein 4spänniger in gutem Stand befindlicher Malaben. ei"
2d109c30-095c-517f-b324-5b03f7636340/a4,"33. Unterzeichnete nimmt die Freyheit, ihren E. Kunden, wie auch E. E. Publikum geziemend anzuzeigen, daß sie ihre Wohnung verändert hat, und jetzt in No. 1031 in der AeschenVorstadt wohnhaft ist. Sie empfiehlt sich wie früher in aller Arten Buchbinderund FutteralArbeit, als: Aller Sorten große und kleine Schreibu. Notizbücher, Gesangund Stammbücher, verschiedene schöne große und kleine Nähkästchen, ArbeitsKästchen und Körbchen, Toilettes, aller Sorten feine und ordinaire Zeichnungsund Postpapiere, nebst andern Artikeln mehr. Unter Zusicherung biliger Preise, so wie auch schöner und guter Arbeit, frau Leuba."
2d109c30-095c-517f-b324-5b03f7636340/a5,"32. Eine Obligation von Fr. 1200 auf Bettigen, welche bis jetzt gut verzinst worden ist; in No. 1629 an der untern"
2d109c30-095c-517f-b324-5b03f7636340/a6,"25. In der Schneider'schen Buchhandlung sind folgende Schriften zu haben: Naturhistorische Bildersammlung, mit kurzem erklärendem Tert. Vollständiges Werk. Wohlfeiles, schönes und nützliches Geschenk für d. Jugend; auch zu jedem Lehrbuch der Naturgeschichte brauchbar. Mit 1164 lithographirten, u. illuminirten Abbildungen auf 48 Tafeln. fl. 11. iselins Naturgeschichte. v. C. Schwarz. Dritte Auflage. Mit eilf ganz neuen illumin. Kupfertäfeln. fl. 4. 30 kr. historisches Lesebuch der christlichen Bibellehre. Für Liebhaber der Wahrheit unter Jungen u. Alten, von J. H. Schöner. Mit einem Christusbild zum Titelkupfer. Nürnb. 1834. fl. 2. 24 kr. Onkel Brissons Unterhaltungen mit seinen Kindern. Zwey Thle. br. 3 fl. Nachrichten vom neuesten Zustande der lutherischen Kirche in Schlesten, vom April 1832 bis Juni 1833. br. 18 kr. Das trennende Unionswerk od. die neue Preußische Agende und Union, beleuchtet von einem evang luther. Geistlichen Schlestens. Brosch. 32 kr. Sammlung von vierzig Rupferstichen zum Alten u. Neuen Testament, auch zu jeder bibl. Historie anwendbar. fl. 2. 20 kr."
2d109c30-095c-517f-b324-5b03f7636340/a7,"24. Im Kaffeehaus auf dem Markt sind auf das Neujahr, so wie das ganze Jahrl hindurch Leckerly u. Croquants zu haben."
2d109c30-095c-517f-b324-5b03f7636340/a8,"31. Ein Bodentuch, 6 Ellen lang und 4 1/2 Ellen breit; mehrere Röcke, worunter sich ein feintüchener befindet; Chals von verschiedenen Größen, einige Hüte nach jetziger Mode, schöne weiße Blonden, ganz neue weiße Atlas-Schuhe, feine Hemden; alles zu äußerst biligen Preisen. Zu erfragen in No. 504 auf dem"
2d109c30-095c-517f-b324-5b03f7636340/a9,30. In No. 588 auf St. Andreas Platz: Eine gute Wanduhr und ein Beizebütte-
3ae2fe1f-a270-58d8-9717-e6b6da5cf326/a1,"aus Würtemberg. 21. Man vermißt seit 14 Tagen einen rothbraunen seidenen Parapluie mit gelbem Griff; sollte er irgendwo stehen geblieben seyn, so bittet man um dessen gefällige Zurückgabe."
3ae2fe1f-a270-58d8-9717-e6b6da5cf326/a2,"22. Der Unterzeichnete zeigt dem verehrten Publikum anmit an, daß er sich mit Verfertigung der neuen Pascules oder PoutWaagen befasse, welche von der vorzüglichen Eigenschaft sind, daß man mit 1 Pfund 10, mit 10 100 u. s. f. wägen kann. Allenfallsige Liebhaber belieben sich an Herrn Joh. Adam Vogt, zum Pfaueneck No. 1575 in Basel, zu adressiren, woselbst Verfertigte einzusehen Joh. Bapt. Sartory, sind. nikus von Säckingen."
3ae2fe1f-a270-58d8-9717-e6b6da5cf326/a3,"23. Ich ersuche hiemit höflich, die für mich bestimmten Aufträge und Briefe bey Herrn Schmid, No. 149 zu St. Martin, gefälligst abgeben zu wollen. Kleinwitz, Mechanikus, in Grenzach."
505d29bf-7329-5c8f-a140-9c14242e06cb/a0,"7. Am Weihnachts-Tag Morgens, ist von der Utengasse bis in St. Theodors Kirche ein weißes leinenes Sacktuch mit R bezeichnet verloren worden; der ehrliche Finder ist ersucht, solches gegen eine Belohnung in No. 9 an der Rheingasse abzugeben."
505d29bf-7329-5c8f-a140-9c14242e06cb/a1,"6. Ein Beutel mit etwas Geld und sonstigen Sachen, die sich darin befinden, ist gefunden worden, und kann gegen Beschreibung u. Ersatz des Einschreibgeldes haus abgeholt werden. n"
505d29bf-7329-5c8f-a140-9c14242e06cb/a10,"2. In voriger Woche ist eiwas Geld unter 10 Btz. an Werth gefunden worden, welches demjenigen der sich als Eigenthümer ausweisen kann, gegen Entrichtung der Einrückungsgebühr durchs Berichthaus angeboten wird."
505d29bf-7329-5c8f-a140-9c14242e06cb/a11,"1. Dienstags den 24. Dec ist dem Stephan Wetzel in Grenzach ein Jagdhund zugeloffen, welcher gegen Beschreibung und Einschreibgeld ꝛc. dem Eigenthümer angeboten wird."
505d29bf-7329-5c8f-a140-9c14242e06cb/a12,"8. Eine honnete Dame in einer französ. Seestadt würde eine junge Schweizerin annehmen, um ihr die Aufsicht ihrer Kinder anzuvertrauen; dieselbe müßte aber nebst gehöriger Bildung und Rechtschaffenheit die französische und deutsche Sprache kennen, hauptsächlich aber letztere, wie auch im Schreiben geübt seyn. Ohne obige Eigenschaften u. hinlänglich gute Zeugnisse wäre es jedoch überflüßig sich darum zu melden, indem man insonderheit auf eine Person von moralischem Wandel sieht."
505d29bf-7329-5c8f-a140-9c14242e06cb/a13,"7. Es wird ein Knecht gesucht, welcher sowohl im Feld als im Garten arbeiten kann, und sich zu allen Hausgeschäften willig gebrauchen ließe; derselbe könnte sogleich eintreten. In No. 434 groß gen."
505d29bf-7329-5c8f-a140-9c14242e06cb/a14,"6. Bey Frau Lotz Hosch, in No. 79 auf dem Todtentanz, wünschte man um ein billiges Kostgeld etliche Herren zu erhalten."
505d29bf-7329-5c8f-a140-9c14242e06cb/a15,"3. Es wird vor dem AeschenSteinen. oder Spahlenthor ein Losament zu ent. lehnen gesucht, nämlich ebner Erde für ein Werk zu stellen, eine Stege hoch Stube , Kammer und Küche ꝛc.; in Ermanglung der zwey letztern könnte zuletzt nur ein Schlafzimmer angenommen werden. Die Bedingnisse und Adresse sind unter den Buchstaben B. V. im Berichthaus abzugeben."
505d29bf-7329-5c8f-a140-9c14242e06cb/a16,2. Rechtschaffene sehr solide Leute wünschten eine Wirthschaft samt noch 2 à 3 wohnbaren Zimmern ꝛc. oder in dessen Ermanglung ein dazu geeignetes Haus sogleich oder auf Fastnachtfronfasten in Empfang zu nehmen. Allfallsige An. träge beliebe man unter der Adresse M. B. verschlossen ins Berichthaus zu senden.
505d29bf-7329-5c8f-a140-9c14242e06cb/a17,"1. Ein Platz für einige Gefährter zu stellen, müßten aber gut versorgt seyn."
505d29bf-7329-5c8f-a140-9c14242e06cb/a18,"14. Es würde jemand der im Schreiben u. Rechnen gut erfahren ist, u. gute Zeugnisse besäße, in einer Bandfabrike eine Anstellung finden."
505d29bf-7329-5c8f-a140-9c14242e06cb/a19,"13. Ein hiesiges Handelshaus wünscht einen jungen Menschen von rechtschaffenen Eltern in die Lehre zu nehmen; derselbe müßte aber eine schöne Handschrift schreiben, und im Rechnen und in der französischen Sprache nicht ganz unerfahren seyn; in diesem Hause würde er, da sehr viel zu thun ist, zu immerwährendem Fleiß und Thätigkeit angehalten werden. Die resp. Eltern können ihre Anträge unter dem Buchstaben nebst Bemerkung ihrer Wohnung im Berichthau bg"
505d29bf-7329-5c8f-a140-9c14242e06cb/a2,"5. Montags den 30. Dec. ist vom Roßhofgäßlein bis an den St. Leonhards-Graben ein Hausschlüssel verloren worden; man bittet den ehrlichen Finder, solchen gegen eine Erkenntlichkeit im Berichthaus abugeben."
505d29bf-7329-5c8f-a140-9c14242e06cb/a20,"12. Eine rechtschaffene Person von gesetztem Alter, welche schon in hiesigen E. Häusern gedient hat, und in allen häuslichen Geschäften wohl erfahren ist, wünscht als Köchin einen Platz zu erhalten, und könnte soglei"
505d29bf-7329-5c8f-a140-9c14242e06cb/a21,"5. Eine wohlerzogene Tochter, 19 Jahre alt, welche im Rähen und aller andern feinen Arbeit gut unterrichtet und geübt ist, wünscht entweder sogleich oder später bey einer rechtschaffenen Herrschaft als Stubenoder Kindsmagd unterzukommen; man sieht mehr auf gute Behandlung, als auf großen Lohn. Für weitere Auskunft ist sich bey Herrn Klingelfuß in No. 1555 bei der n."
505d29bf-7329-5c8f-a140-9c14242e06cb/a22,"4. Eine erfahrene Schneiderin empfiehlt sich, für 6 Btz. pr. Tag in Kundenhäuser zu gehen, ist zu erfragen in No. 681 im Gerberg ßlein"
505d29bf-7329-5c8f-a140-9c14242e06cb/a23,33. Man wünscht eine stille Person zu sich ins Losament zu nehmen.
505d29bf-7329-5c8f-a140-9c14242e06cb/a24,"32. In No. 1081 am Bäumlein: Ein Losament an Leute ohne Kinder, sogleich oder auf Fastnachtfronfasten zu beziehen."
505d29bf-7329-5c8f-a140-9c14242e06cb/a25,"31. Ein schönes helles Losament 2 kleine Stegen hoch, von Stube, Kammer, beschlüssiger Küche mit Wasserstein, und was der Augenschein zeigen wird, an wenig und stille Leute, auf FastnachtFronfasten; zu erfragen in No. 380 kI. Basel."
505d29bf-7329-5c8f-a140-9c14242e06cb/a26,"30. Ein schönes helles Losament eine Stege hoch, von Stube, zwey Kammern und Küche, alles auf einem Boden, an ehrbare Leute; in No. 251 an der untern Rebgasse, bey Friedrich Mackler"
505d29bf-7329-5c8f-a140-9c14242e06cb/a27,"29. Ein meublirtes Zimmer mit oder ohne Kost, in No. 165 bey der Post."
505d29bf-7329-5c8f-a140-9c14242e06cb/a28,"28. Ein Losament an der Streitgasse, bestehend in 2 Stuben, 2 Kammern, einer Küche, Platz auf dem Estrich, Keller und was der Augenschein zeigen wird; kann auch zertheilt gegeben werden."
505d29bf-7329-5c8f-a140-9c14242e06cb/a29,"3. In einem Handelshaus dahier könnte ein junger fleßiger Mann mehrere Male des Jahrs auf einige Zeit angestellt werden, derselbe müßte aber eine geläufiges schöne französische Handschrift schreiben, u. auf seine Verschwiegenheit müßte man sich allervorderst verlassen können. Die Arbeit beschränkt sich nur auf Copien, ollte man aber keine schöne französische Handschrift schreiben, so ist die Bewerbung ganz vergeblich. Diejenigen welche sich hiezu anzugeben wünschten, sind ersucht, ihre französische Handschrift unter dem Buchstaben petschirt in dem Berichthaus abzugeben mit Bemerkung ihrer Wohnung."
505d29bf-7329-5c8f-a140-9c14242e06cb/a3,"4. Am heil. Weibnachtsmorgen hat eine Tochter an der Schneidergasse einen PelzHandschuh verloren; der ehrliche Finder ist ersucht, solchen gegen eine Erkenntlichkeit im Berichthaus abzugeben."
505d29bf-7329-5c8f-a140-9c14242e06cb/a4,"11. In eine kleine Haushaltung wird ein ehrbares Mädchen gesucht, welches etwas nähen und stricken kann; könnte sogleich eintreten."
505d29bf-7329-5c8f-a140-9c14242e06cb/a5,"10 Eine Tochter von rechtschaffenen Eltern wünscht in einem hiesigen E. Hause als Kindsoder Stubenmagd einzutreten; dieselbe kann gut nähen und verstechen, und würde sich zu allen Geschäften willig nde"
505d29bf-7329-5c8f-a140-9c14242e06cb/a6,"9. Man verlangt eine Magd von mittlerm Alter, die gut kochen kann u. das Hauswesen versteht, besonders aber mit guten Zeugnissen versehen ist; könnte sogleich oder in 8 Tagen eintreten."
505d29bf-7329-5c8f-a140-9c14242e06cb/a7,"2. Ein Schmied aus dem Badischen, welcher sich bey Mömpelgardt etablirt hat, wünscht einen Knaben von rechtschaffenen Eltern um billiges Lehrgeld in die Lehre zu nehmen, wo er zugleich die französische Sprache lernen könnte."
505d29bf-7329-5c8f-a140-9c14242e06cb/a8,1. Un jeune homme possédant l'écriture et les langues francaise et allemande désirerait entrer dans une maison de cette ville poury faire l'apprentissage des commerce.
505d29bf-7329-5c8f-a140-9c14242e06cb/a9,"3. Ein weißer Kater mit gelben Flecken und gelbem etwas wenig abgestutztem Schwanz, hat sich in der Gegend von St. Elisabethen verloffen; dessen Wiederbringer in No. 917 wird allda ein Trinkempfangen."
6fde9356-4f30-533b-b9a8-6bdc4c600dbd/a1,"Beerdigt wurde: Den 28. Dec. 1833. bey St. Peter: Frau Anna Margaretha Flubacher, Wittwe von Herrn Emanuel Lindenmeyer sel., dem Seidenweber."
